Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
24,Travel_Frequently,450,Sales,25,2,Marketing,1,Male,40,2,Sales Representative,1,Single,2500,8000,5,Yes,12,3,2,0,3,1,1,1,1,0,1
45,Non-Travel,1200,Research & Development,3,4,Life Sciences,4,Female,75,4,Research Director,4,Married,15000,22000,1,No,20,3,4,3,20,3,4,18,10,5,12
28,Travel_Rarely,600,Sales,15,3,Marketing,2,Male,55,2,Sales Executive,2,Single,3200,10000,4,Yes,13,3,1,0,6,2,2,3,2,1,2
35,Travel_Rarely,800,Research & Development,5,3,Life Sciences,3,Female,65,3,Research Scientist,3,Married,5500,14000,2,No,14,3,3,1,10,2,3,7,3,2,4
22,Travel_Frequently,300,Sales,20,1,Marketing,1,Male,35,1,Sales Representative,1,Single,2200,7000,3,Yes,11,3,1,0,2,1,1,1,1,0,1
50,Non-Travel,1400,Research & Development,2,5,Medical,4,Female,90,4,Manager,4,Married,18000,25000,1,No,22,4,4,3,25,3,4,20,12,8,15
30,Travel_Rarely,700,Human Resources,8,3,Human Resources,2,Female,60,2,Human Resources,2,Single,4000,12000,3,Yes,13,3,2,1,7,2,2,4,3,1,3
42,Travel_Rarely,950,Research & Development,4,4,Medical,3,Male,80,3,Manufacturing Director,3,Married,9000,18000,2,No,16,3,3,2,15,3,3,12,8,3,8
26,Travel_Frequently,500,Sales,18,2,Technical Degree,1,Male,45,2,Laboratory Technician,1,Single,2800,9000,4,Yes,12,3,1,0,4,1,1,2,1,0,2
38,Non-Travel,1100,Research & Development,6,3,Life Sciences,4,Female,70,3,Healthcare Representative,4,Married,7500,16000,1,No,15,3,4,2,12,3,4,10,6,2,7